                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9034,                 5.0442,                 1.6653,                0.01815,                0.16667,                0.03977,                0.01629,                  2.016,                 4.7482,                 1.6992,               2.25e-05,               2.25e-05,               2.25e-05
                      2,                 1.4336,                 4.0216,                 1.3306,                0.44444,                0.20105,                0.16367,                0.09172,                 1.6377,                 3.6791,                  1.449,             4.7406e-05,             4.7406e-05,             4.7406e-05
                      3,                 1.1772,                 2.8989,                 1.1703,                0.73608,                0.29544,                0.38503,                0.27405,                 1.3032,                 3.4234,                  1.301,             7.2213e-05,             7.2213e-05,             7.2213e-05
                      4,                 1.0762,                  2.221,                 1.1349,                0.87924,                0.38866,                0.62255,                0.47766,                 1.0617,                 2.2855,                 1.1565,             9.6921e-05,             9.6921e-05,             9.6921e-05
                      5,                 1.0532,                 1.7763,                 1.1304,                 0.7446,                 0.5425,                 0.7171,                0.56019,                 1.0274,                 1.6561,                 1.1651,             0.00012153,             0.00012153,             0.00012153
                      6,                 1.0022,                 1.4535,                 1.1099,                0.73872,                0.79562,                0.86625,                0.65773,                0.96003,                 1.2744,                 1.1493,             0.00014604,             0.00014604,             0.00014604
                      7,                0.99648,                 1.2738,                  1.111,                0.74234,                0.78913,                0.82713,                0.62262,                 1.0133,                 1.3025,                 1.1919,             0.00017045,             0.00017045,             0.00017045
                      8,                0.96767,                 1.1491,                 1.1128,                0.64765,                0.93295,                0.94275,                0.72269,                0.99202,                 1.0826,                 1.1792,             0.00019476,             0.00019476,             0.00019476
                      9,                 0.9619,                0.99637,                 1.1004,                0.83674,                0.74349,                0.95354,                0.74498,                0.94411,                 1.1637,                 1.1462,             0.00021898,             0.00021898,             0.00021898
                     10,                0.94722,                 1.0204,                 1.0886,                0.78039,                0.82233,                  0.937,                0.75568,                 0.9307,                 0.9142,                 1.1287,             0.00024309,             0.00024309,             0.00024309
                     11,                0.92621,                 0.9082,                 1.1091,                0.76611,                0.83061,                0.96188,                0.78001,                0.95955,                 1.0857,                 1.1477,             0.00024505,             0.00024505,             0.00024505
                     12,                0.94575,                0.92337,                 1.0948,                0.78513,                0.84236,                 0.9411,                0.75757,                0.98364,                0.84616,                 1.1495,             0.00024505,             0.00024505,             0.00024505
                     13,                0.91313,                0.86761,                 1.0679,                0.72971,                0.84548,                0.88717,                0.69949,                0.98475,                0.93436,                 1.1564,             0.00024455,             0.00024455,             0.00024455
                     14,                0.90307,                0.79869,                 1.0715,                0.78441,                0.81667,                0.82779,                0.65794,                0.94368,                 0.9005,                 1.1371,             0.00024406,             0.00024406,             0.00024406
                     15,                0.90088,                0.77422,                 1.0886,                0.69239,                 0.8541,                0.82994,                0.65083,                 0.9733,                 1.0205,                 1.1777,             0.00024357,             0.00024357,             0.00024357
                     16,                0.90653,                0.79477,                 1.0771,                0.80717,                0.80564,                0.88484,                0.69973,                0.96686,                0.94207,                 1.1814,             0.00024307,             0.00024307,             0.00024307
                     17,                0.89382,                0.75276,                 1.0574,                0.79768,                0.85071,                0.90375,                0.69857,                 1.0179,                0.88929,                 1.2094,             0.00024258,             0.00024258,             0.00024258
                     18,                0.86509,                0.74954,                 1.0678,                0.81727,                0.77352,                0.93617,                0.73115,                 1.0116,                0.92466,                 1.1901,             0.00024208,             0.00024208,             0.00024208
                     19,                0.86084,                0.67566,                 1.0554,                0.73444,                 0.8942,                 0.9685,                0.75249,                 1.0052,                 0.8174,                 1.1853,             0.00024158,             0.00024158,             0.00024158
                     20,                0.85619,                0.69104,                 1.0361,                0.78403,                0.85319,                0.94312,                0.72567,                 1.0371,                 0.8084,                 1.2118,             0.00024109,             0.00024109,             0.00024109
                     21,                0.83166,                0.66561,                 1.0437,                0.80511,                0.84023,                0.94235,                0.74226,                 1.0172,                0.77375,                 1.1944,             0.00024059,             0.00024059,             0.00024059
                     22,                0.83439,                0.67859,                 1.0376,                0.68512,                0.93333,                0.94117,                0.73727,                 1.0515,                0.85775,                 1.2227,              0.0002401,              0.0002401,              0.0002401
                     23,                0.81688,                0.64879,                 1.0538,                0.69496,                0.95833,                0.93996,                0.71223,                 1.0838,                0.79355,                 1.2241,              0.0002396,              0.0002396,              0.0002396
