                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2574,                 3.3216,                 1.2632,                0.68482,                0.67201,                0.71235,                0.53901,                0.94678,                 1.4659,                 1.1049,             8.1481e-05,             8.1481e-05,             8.1481e-05
                      2,                0.95192,                 1.2383,                 1.0938,                0.91931,                0.89535,                0.96106,                0.75679,                0.86981,                0.72056,                 1.1047,             0.00016441,             0.00016441,             0.00016441
                      3,                0.91331,                0.90312,                 1.0809,                0.92816,                0.93673,                0.96923,                 0.7638,                0.86731,                0.62602,                 1.1148,             0.00024692,             0.00024692,             0.00024692
                      4,                0.91146,                0.79079,                 1.0747,                0.90643,                 0.9381,                0.96926,                 0.7616,                0.84478,                0.60045,                 1.0937,             0.00024814,             0.00024814,             0.00024814
                      5,                 0.8982,                0.72078,                 1.0743,                0.94531,                0.94331,                0.97921,                0.77964,                0.83021,                0.52558,                 1.0877,             0.00024814,             0.00024814,             0.00024814
                      6,                0.89144,                0.68427,                 1.0629,                0.94178,                 0.9518,                0.98059,                0.78401,                0.81187,                0.47321,                 1.0836,             0.00024753,             0.00024753,             0.00024753
                      7,                0.86943,                0.66173,                  1.063,                0.94335,                0.96368,                0.98299,                0.77844,                0.83471,                0.49159,                 1.0923,             0.00024691,             0.00024691,             0.00024691
                      8,                0.85285,                0.61077,                 1.0484,                0.93415,                0.96939,                0.98288,                0.79227,                0.81205,                0.44738,                 1.0828,             0.00024629,             0.00024629,             0.00024629
                      9,                0.85685,                0.61235,                 1.0545,                0.95045,                0.97191,                0.97971,                 0.7871,                0.80507,                0.45752,                  1.086,             0.00024567,             0.00024567,             0.00024567
                     10,                0.84087,                0.59125,                 1.0421,                 0.9561,                0.95677,                0.98259,                0.79407,                0.79292,                0.43856,                 1.0782,             0.00024505,             0.00024505,             0.00024505
                     11,                0.83605,                0.57259,                  1.047,                0.94561,                0.94175,                0.97732,                 0.7698,                0.83583,                0.46641,                 1.0992,             0.00024443,             0.00024443,             0.00024443
                     12,                0.84118,                 0.5586,                 1.0466,                 0.9664,                0.96002,                0.98451,                 0.8036,                0.78672,                0.39766,                 1.0756,             0.00024381,             0.00024381,             0.00024381
                     13,                0.81869,                0.53489,                 1.0401,                0.96117,                0.96288,                0.98259,                0.79455,                0.80796,                0.43815,                 1.0889,             0.00024319,             0.00024319,             0.00024319
                     14,                0.81733,                 0.5273,                 1.0362,                0.95703,                0.96778,                0.98665,                0.78929,                0.81996,                0.40128,                 1.0935,             0.00024258,             0.00024258,             0.00024258
                     15,                 0.8171,                 0.5222,                 1.0388,                  0.951,                0.95748,                0.98139,                0.79038,                 0.7998,                0.42012,                 1.0846,             0.00024196,             0.00024196,             0.00024196
                     16,                0.79725,                0.51221,                 1.0295,                0.94533,                 0.9661,                0.98111,                0.79522,                0.78213,                0.41916,                 1.0817,             0.00024134,             0.00024134,             0.00024134
                     17,                0.80003,                0.50599,                 1.0292,                 0.9563,                0.95454,                 0.9827,                0.78909,                0.81015,                0.41208,                 1.0866,             0.00024072,             0.00024072,             0.00024072
                     18,                0.79281,                 0.4935,                 1.0237,                0.95034,                0.94936,                0.98401,                0.80243,                0.78023,                0.41406,                 1.0795,              0.0002401,              0.0002401,              0.0002401
                     19,                0.78234,                0.49691,                 1.0262,                0.94501,                0.97071,                0.97565,                0.79584,                0.78017,                  0.402,                 1.0851,             0.00023948,             0.00023948,             0.00023948
                     20,                0.78108,                0.49226,                 1.0218,                0.95634,                0.97188,                0.98127,                0.80225,                0.76753,                0.39056,                 1.0814,             0.00023886,             0.00023886,             0.00023886
                     21,                0.75866,                0.48221,                 1.0217,                0.94943,                0.96976,                0.97893,                0.79782,                0.76775,                0.39006,                 1.0763,             0.00023824,             0.00023824,             0.00023824
                     22,                0.76651,                0.47566,                 1.0202,                0.94865,                0.96419,                0.98246,                0.79999,                0.78265,                  0.397,                 1.0832,             0.00023763,             0.00023763,             0.00023763
                     23,                0.75881,                 0.4712,                 1.0184,                0.95763,                0.97406,                0.98076,                0.79725,                0.78901,                0.38365,                 1.0872,             0.00023701,             0.00023701,             0.00023701
                     24,                0.76062,                0.46813,                 1.0269,                0.95364,                0.96528,                 0.9789,                0.79206,                0.79709,                0.39495,                 1.0938,             0.00023639,             0.00023639,             0.00023639
                     25,                0.74365,                0.46026,                 1.0136,                0.96552,                0.96308,                 0.9811,                0.79355,                0.77387,                0.37682,                 1.0839,             0.00023577,             0.00023577,             0.00023577
                     26,                0.74079,                0.45678,                 1.0121,                0.95258,                0.95717,                0.98127,                 0.7999,                0.77677,                0.38974,                 1.0897,             0.00023515,             0.00023515,             0.00023515
                     27,                0.74304,                0.46596,                 1.0167,                0.94958,                0.96044,                0.98369,                0.80641,                0.76631,                0.38463,                 1.0947,             0.00023453,             0.00023453,             0.00023453
                     28,                0.73679,                0.45049,                 1.0142,                0.95337,                0.96227,                 0.9788,                0.79947,                0.78389,                0.39954,                 1.0915,             0.00023391,             0.00023391,             0.00023391
                     29,                0.73443,                0.44809,                 1.0096,                0.95777,                0.96731,                0.98053,                0.79995,                 0.7707,                0.39325,                 1.0887,             0.00023329,             0.00023329,             0.00023329
                     30,                0.71603,                0.44363,                 1.0025,                0.96396,                0.96381,                0.98278,                 0.8023,                0.76427,                 0.3779,                 1.0873,             0.00023268,             0.00023268,             0.00023268
