                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8637,                 4.9976,                 1.2355,                0.07066,                0.85714,                 0.0716,                0.03837,                 1.7962,                 26.428,                0.95066,                0.00038,                0.00038,                0.00038
                      2,                 1.5365,                 1.4162,                 1.1297,                0.62824,                0.96807,                0.63318,                0.34506,                 1.3967,                  9.732,                0.86783,             0.00077743,             0.00077743,             0.00077743
                      3,                 1.6722,                 1.2043,                   1.16,                0.62824,                0.96807,                0.63318,                0.34506,                    nan,                    nan,                    nan,              0.0011722,              0.0011722,              0.0011722
                      4,                 1.6267,                 1.2364,                 1.1768,                0.62824,                0.96807,                0.63318,                0.34506,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                      5,                 1.6701,                   1.42,                 1.1765,                0.62824,                0.96807,                0.63318,                0.34506,                    nan,                    nan,                    nan,              0.0019539,              0.0019539,              0.0019539
                      6,                 1.6501,                 1.2073,                 1.1511,                0.62824,                0.96807,                0.63318,                0.34506,                      0,                   1734,                      0,               0.001967,               0.001967,               0.001967
                      7,                 1.6947,                 1.1688,                 1.1943,                0.00088,                0.14286,                0.00033,                 0.0003,                 2.6752,                    inf,                 14.637,               0.001967,               0.001967,               0.001967
                      8,                 1.5541,                0.97281,                  1.076,                0.00088,                0.14286,                0.00033,                 0.0003,                 5.7004,                 5.2243,                 2.2712,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4672,                0.97472,                 1.1269,                0.97784,                      1,                  0.995,                0.58669,                 1.4781,                 1.5025,                0.92842,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4413,                 0.9915,                 1.0848,                0.98886,                0.85714,                0.93667,                0.54195,                 1.5345,                0.81862,                0.91292,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.5301,                0.95166,                 1.1464,                0.98734,                      1,                  0.995,                 0.5812,                 1.5195,                0.71075,                0.87428,              0.0019406,              0.0019406,              0.0019406
                     12,                   1.46,                0.97208,                 1.1486,                0.98734,                      1,                  0.995,                 0.5812,                0.00423,                 6.7773,                0.00214,               0.001934,               0.001934,               0.001934
                     13,                 1.4406,                0.95281,                 1.1025,                 0.8232,                0.71429,                0.90944,                0.43992,                 1.7186,                 1.1593,                0.94887,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.5061,                0.96031,                 1.1066,                0.97916,                0.42857,                0.47924,                0.23906,                 1.6724,                0.83642,                 0.9633,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.4022,                0.84897,                 1.0844,                0.98759,                0.71429,                0.85063,                0.50215,                  1.302,                 1.2026,                0.86015,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.4135,                0.89614,                 1.0855,                0.97512,                0.85714,                  0.925,                0.58793,                 1.1798,                 1.0355,                 0.8574,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.4325,                0.91197,                 1.0833,                0.98624,                0.85714,                0.93038,                0.61538,                 1.3124,                0.84722,                0.85587,               0.001901,               0.001901,               0.001901
                     18,                 1.3827,                 0.8133,                 1.0749,                 0.9972,                      1,                  0.995,                0.64211,                 1.4888,                0.72726,                0.88007,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.3975,                0.83814,                 1.0598,                      1,                0.99404,                  0.995,                0.61374,                 1.3154,                0.79685,                 0.8657,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.4327,                0.89251,                 1.0591,                      1,                0.98749,                  0.995,                  0.701,                 1.2568,                0.76391,                0.86907,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.3984,                 0.8022,                 1.0861,                      1,                0.99646,                  0.995,                0.65826,                 1.4084,                0.70061,                0.92683,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.3425,                0.77217,                  1.055,                0.99254,                      1,                  0.995,                0.67525,                 1.1684,                0.71132,                0.86024,               0.001868,               0.001868,               0.001868
                     23,                 1.3494,                0.80119,                 1.0495,                0.99039,                      1,                  0.995,                0.68075,                0.98805,                0.60497,                0.84557,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.3239,                0.77792,                 1.0054,                0.96222,                      1,                  0.995,                0.61493,                 1.4081,                0.63797,                0.90007,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3082,                0.73037,                 1.0595,                      1,                0.99119,                  0.995,                0.58582,                 1.3301,                0.64917,                0.85964,              0.0018482,              0.0018482,              0.0018482
                     26,                   1.28,                0.70576,                 1.0194,                      1,                0.98615,                  0.995,                0.72432,                 1.0353,                0.70865,                0.83674,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.2612,                0.68041,                0.99145,                      1,                0.99366,                  0.995,                 0.7094,                 1.1129,                0.55638,                0.84337,               0.001835,               0.001835,               0.001835
                     28,                 1.3289,                0.75665,                  1.031,                0.98964,                      1,                  0.995,                0.64973,                 1.1739,                0.59502,                 0.8515,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.3302,                0.78059,                 1.0517,                      1,                0.99762,                  0.995,                0.69373,                0.99993,                0.64903,                0.84378,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.2066,                0.73045,                 1.0016,                0.98991,                      1,                  0.995,                0.68988,                 1.1879,                0.60911,                0.84382,              0.0018152,              0.0018152,              0.0018152
                     31,                  1.246,                0.71471,                0.96819,                0.97695,                      1,                  0.995,                0.75944,                 1.0046,                0.60182,                0.84214,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.2709,                0.73507,                   1.03,                0.98323,                      1,                  0.995,                0.70622,                   1.11,                0.55688,                0.83646,               0.001802,               0.001802,               0.001802
                     33,                 1.2922,                0.71438,                 1.0036,                0.98947,                      1,                  0.995,                 0.5707,                 1.4699,                0.66786,                0.87228,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.2522,                0.69098,                0.99599,                0.98996,                      1,                  0.995,                0.73283,                 1.0269,                0.54688,                0.83693,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.2017,                0.65908,                0.97534,                0.98192,                0.85714,                0.96389,                0.70138,                 1.0688,                0.67069,                0.83923,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.1871,                0.66395,                0.95764,                0.98932,                      1,                  0.995,                0.74092,                 1.0716,                0.57977,                0.83414,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.1839,                0.67025,                0.97523,                0.99095,                      1,                  0.995,                0.64672,                 1.2348,                0.61867,                0.85228,               0.001769,               0.001769,               0.001769
                     38,                 1.1812,                0.66601,                0.98289,                0.99167,                      1,                  0.995,                 0.7348,                 1.1391,                0.56551,                0.84462,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.1787,                0.66493,                0.97139,                      1,                0.99361,                  0.995,                0.73156,                 1.1734,                0.62185,                0.84479,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.1374,                0.65709,                 1.0222,                      1,                0.99308,                  0.995,                0.74639,                0.96735,                 0.5751,                0.83482,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.1669,                0.63235,                0.96787,                      1,                0.99287,                  0.995,                0.74855,                 1.0694,                0.53133,                0.84705,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3443,                0.70298,                0.99125,                0.86953,                      1,                 0.9775,                0.62439,                 1.1941,                0.62504,                0.84955,               0.001736,               0.001736,               0.001736
                     43,                  1.232,                0.67093,                 1.0171,                      1,                0.98674,                  0.995,                0.73794,                 1.1039,                0.69269,                0.85269,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.0995,                0.64599,                0.94843,                0.99058,                      1,                  0.995,                0.66103,                  1.217,                0.63726,                0.85272,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.1371,                0.64347,                0.98947,                0.87495,                0.99957,                 0.9775,                0.73396,                 1.0715,                  0.653,                0.83728,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.1476,                0.65136,                0.96874,                0.98624,                0.85714,                 0.9775,                0.69688,                 1.1166,                0.66168,                 0.8443,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.1123,                0.60532,                0.94758,                      1,                0.99967,                  0.995,                0.76674,                 1.0033,                0.50826,                0.84042,               0.001703,               0.001703,               0.001703
                     48,                  1.119,                0.63889,                0.95524,                      1,                 0.9948,                  0.995,                0.69357,                 1.0877,                0.59212,                0.83954,              0.0016964,              0.0016964,              0.0016964
